Time,Difference
10/4/16 6:00,0.12
10/4/16 6:06,0.123
10/4/16 6:12,0.127
10/4/16 6:18,0.131
10/4/16 6:24,0.133
10/4/16 6:30,0.13
10/4/16 6:36,0.132
10/4/16 6:42,0.134
10/4/16 6:48,0.137
10/4/16 6:54,0.141
10/4/16 7:00,0.145
10/4/16 7:06,0.146
10/4/16 7:12,0.144
10/4/16 7:18,0.144
10/4/16 7:24,0.144
10/4/16 7:30,0.148
10/4/16 7:36,0.15
10/4/16 7:42,0.148
10/4/16 7:48,0.145
10/4/16 7:54,0.146
10/4/16 8:00,0.15
10/4/16 8:06,0.151
10/4/16 8:12,0.153
10/4/16 8:18,0.157
10/4/16 8:24,0.161
10/4/16 8:30,0.16
10/4/16 8:36,0.161
10/4/16 8:42,0.163
10/4/16 8:48,0.166
10/4/16 8:54,0.17
10/4/16 9:00,0.17
10/4/16 9:06,0.173
10/4/16 9:12,0.171
10/4/16 9:18,0.169
10/4/16 9:24,0.173
10/4/16 9:30,0.173
10/4/16 9:36,0.171
10/4/16 9:42,0.173
10/4/16 9:48,0.17
10/4/16 9:54,0.169
10/4/16 10:00,0.169
10/4/16 10:06,0.168
10/4/16 10:12,0.166
10/4/16 10:18,0.163
10/4/16 10:24,0.162
10/4/16 10:30,0.163
10/4/16 10:36,0.16
10/4/16 10:42,0.156
10/4/16 10:48,0.149
10/4/16 10:54,0.146
10/4/16 11:00,0.149
10/4/16 11:06,0.154
10/4/16 11:12,0.157
10/4/16 11:18,0.159
10/4/16 11:24,0.163
10/4/16 11:30,0.162
10/4/16 11:36,0.158
10/4/16 11:42,0.154
10/4/16 11:48,0.155
10/4/16 11:54,0.158
10/4/16 12:00,0.163
10/4/16 12:06,0.166
10/4/16 12:12,0.167
10/4/16 12:18,0.166
10/4/16 12:24,0.164
10/4/16 12:30,0.165
10/4/16 12:36,0.168
10/4/16 12:42,0.166
10/4/16 12:48,0.163
10/4/16 12:54,0.161
10/4/16 13:00,0.158
10/4/16 13:06,0.163
10/4/16 13:12,0.162
10/4/16 13:18,0.16
10/4/16 13:24,0.153
10/4/16 13:30,0.145
10/4/16 13:36,0.141
10/4/16 13:42,0.14
10/4/16 13:48,0.136
10/4/16 13:54,0.117
10/4/16 14:00,0.107
10/4/16 14:06,0.103
10/4/16 14:12,0.104
10/4/16 14:18,0.097
10/4/16 14:24,0.088
10/4/16 14:30,0.068
10/4/16 14:36,0.074
10/4/16 14:42,0.063
10/4/16 14:48,0.064
10/4/16 14:54,0.059
10/4/16 15:00,0.057
10/4/16 15:06,0.054
10/4/16 15:12,0.057
10/4/16 15:18,0.055
10/4/16 15:24,0.054
10/4/16 15:30,0.052
10/4/16 15:36,0.056
10/4/16 15:42,0.057
10/4/16 15:48,0.064
10/4/16 15:54,0.068
10/4/16 16:00,0.071
10/4/16 16:06,0.072
10/4/16 16:12,0.076
10/4/16 16:18,0.08
10/4/16 16:24,0.084
10/4/16 16:30,0.09
10/4/16 16:36,0.098
10/4/16 16:42,0.102
10/4/16 16:48,0.1
10/4/16 16:54,0.101
10/4/16 17:00,0.102
10/4/16 17:06,0.106
10/4/16 17:12,0.11
10/4/16 17:18,0.115
10/4/16 17:24,0.119
10/4/16 17:30,0.12
10/4/16 17:36,0.122
10/4/16 17:42,0.134
10/4/16 17:48,0.106
10/4/16 17:54,0.13
10/4/16 18:00,0.143
10/4/16 18:06,0.148
10/4/16 18:12,0.153
10/4/16 18:18,0.161
10/4/16 18:24,0.16
10/4/16 18:30,0.16
10/4/16 18:36,0.17
10/4/16 18:42,0.178
10/4/16 18:48,0.19
10/4/16 18:54,0.191
10/4/16 19:00,0.192
10/4/16 19:06,0.2
10/4/16 19:12,0.208
10/4/16 19:18,0.212
10/4/16 19:24,0.214
10/4/16 19:30,0.215
10/4/16 19:36,0.218
10/4/16 19:42,0.232
10/4/16 19:48,0.233
10/4/16 19:54,0.224
10/4/16 20:00,0.228
10/4/16 20:06,0.214
10/4/16 20:12,0.222
10/4/16 20:18,0.219
10/4/16 20:24,0.212
10/4/16 20:30,0.218
10/4/16 20:36,0.226
10/4/16 20:42,0.214
10/4/16 20:48,0.216
10/4/16 20:54,0.221
10/4/16 21:00,0.211
10/4/16 21:06,0.21
10/4/16 21:12,0.203
10/4/16 21:18,0.213
10/4/16 21:24,0.218
10/4/16 21:30,0.221
10/4/16 21:36,0.228
10/4/16 21:42,0.232
10/4/16 21:48,0.227
10/4/16 21:54,0.219
10/4/16 22:00,0.237
10/4/16 22:06,0.222
10/4/16 22:12,0.217
10/4/16 22:18,0.227
10/4/16 22:24,0.244
10/4/16 22:30,0.247
10/4/16 22:36,0.244
10/4/16 22:42,0.234
10/4/16 22:48,0.238
10/4/16 22:54,0.24
10/4/16 23:00,0.242
10/4/16 23:06,0.243
10/4/16 23:12,0.25
10/4/16 23:18,0.253
10/4/16 23:24,0.262
10/4/16 23:30,0.267
10/4/16 23:36,0.274
10/4/16 23:42,0.284
10/4/16 23:48,0.293
10/4/16 23:54,0.286
10/5/16 0:00,0.288
10/5/16 0:06,0.295
10/5/16 0:12,0.302
10/5/16 0:18,0.306
10/5/16 0:24,0.306
10/5/16 0:30,0.305
10/5/16 0:36,0.303
10/5/16 0:42,0.299
10/5/16 0:48,0.299
10/5/16 0:54,0.304
10/5/16 1:00,0.309
10/5/16 1:06,0.306
10/5/16 1:12,0.296
10/5/16 1:18,0.283
10/5/16 1:24,0.275
10/5/16 1:30,0.269
10/5/16 1:36,0.261
10/5/16 1:42,0.256
10/5/16 1:48,0.244
10/5/16 1:54,0.23
10/5/16 2:00,0.226
10/5/16 2:06,0.223
10/5/16 2:12,0.212
10/5/16 2:18,0.2
10/5/16 2:24,0.178
10/5/16 2:30,0.167
10/5/16 2:36,0.182
10/5/16 2:42,0.165
10/5/16 2:48,0.158
10/5/16 2:54,0.154
10/5/16 3:00,0.147
10/5/16 3:06,0.143
10/5/16 3:12,0.134
10/5/16 3:18,0.122
10/5/16 3:24,0.119
10/5/16 3:30,0.122
10/5/16 3:36,0.126
10/5/16 3:42,0.126
10/5/16 3:48,0.124
10/5/16 3:54,0.128
10/5/16 4:00,0.136
10/5/16 4:06,0.137
10/5/16 4:12,0.138
10/5/16 4:18,0.141
10/5/16 4:24,0.148
10/5/16 4:30,0.155
10/5/16 4:36,0.157
10/5/16 4:42,0.158
10/5/16 4:48,0.164
10/5/16 4:54,0.173
10/5/16 5:00,0.181
10/5/16 5:06,0.182
10/5/16 5:12,0.185
10/5/16 5:18,0.19
10/5/16 5:24,0.195
10/5/16 5:30,0.204
10/5/16 5:36,0.209
10/5/16 5:42,0.217
10/5/16 5:48,0.219
10/5/16 5:54,0.222
10/5/16 6:00,0.229
10/5/16 6:06,0.236
10/5/16 6:12,0.245
10/5/16 6:18,0.251
10/5/16 6:24,0.257
10/5/16 6:30,0.267
10/5/16 6:36,0.273
10/5/16 6:42,0.281
10/5/16 6:48,0.286
10/5/16 6:54,0.302
10/5/16 7:00,0.314
10/5/16 7:06,0.308
10/5/16 7:12,0.328
10/5/16 7:18,0.326
10/5/16 7:24,0.344
10/5/16 7:30,0.354
10/5/16 7:36,0.352
10/5/16 7:42,0.363
10/5/16 7:48,0.37
10/5/16 7:54,0.379
10/5/16 8:00,0.383
10/5/16 8:06,0.389
10/5/16 8:12,0.393
10/5/16 8:18,0.392
10/5/16 8:24,0.392
10/5/16 8:30,0.401
10/5/16 8:36,0.403
10/5/16 8:42,0.403
10/5/16 8:48,0.402
10/5/16 8:54,0.397
10/5/16 9:00,0.393
10/5/16 9:06,0.399
10/5/16 9:12,0.401
10/5/16 9:18,0.398
10/5/16 9:24,0.392
10/5/16 9:30,0.389
10/5/16 9:36,0.391
10/5/16 9:42,0.39
10/5/16 9:48,0.387
10/5/16 9:54,0.384
10/5/16 10:00,0.381
10/5/16 10:06,0.372
10/5/16 10:12,0.374
10/5/16 10:18,0.374
10/5/16 10:24,0.371
10/5/16 10:30,0.361
10/5/16 10:36,0.356
10/5/16 10:42,0.352
10/5/16 10:48,0.351
10/5/16 10:54,0.346
10/5/16 11:00,0.339
10/5/16 11:06,0.334
10/5/16 11:12,0.33
10/5/16 11:18,0.329
10/5/16 11:24,0.322
10/5/16 11:30,0.317
10/5/16 11:36,0.318
10/5/16 11:42,0.316
10/5/16 11:48,0.313
10/5/16 11:54,0.306
10/5/16 12:00,0.303
10/5/16 12:06,0.302
10/5/16 12:12,0.308
10/5/16 12:18,0.296
10/5/16 12:24,0.303
10/5/16 12:30,0.301
10/5/16 12:36,0.301
10/5/16 12:42,0.303
10/5/16 12:48,0.306
10/5/16 12:54,0.301
10/5/16 13:00,0.302
10/5/16 13:06,0.3
10/5/16 13:12,0.295
10/5/16 13:18,0.293
10/5/16 13:24,0.286
10/5/16 13:30,0.276
10/5/16 13:36,0.268
10/5/16 13:42,0.262
10/5/16 13:48,0.259
10/5/16 13:54,0.251
10/5/16 14:00,0.243
10/5/16 14:06,0.235
10/5/16 14:12,0.223
10/5/16 14:18,0.215
10/5/16 14:24,0.202
10/5/16 14:30,0.19
10/5/16 14:36,0.184
10/5/16 14:42,0.179
10/5/16 14:48,0.17
10/5/16 14:54,0.163
10/5/16 15:00,0.154
10/5/16 15:06,0.149
10/5/16 15:12,0.144
10/5/16 15:18,0.139
10/5/16 15:24,0.137
10/5/16 15:30,0.135
10/5/16 15:36,0.138
10/5/16 15:42,0.138
10/5/16 15:48,0.137
10/5/16 15:54,0.136
10/5/16 16:00,0.139
10/5/16 16:06,0.143
10/5/16 16:12,0.148
10/5/16 16:18,0.15
10/5/16 16:24,0.158
10/5/16 16:30,0.164
10/5/16 16:36,0.169
10/5/16 16:42,0.173
10/5/16 16:48,0.18
10/5/16 16:54,0.186
10/5/16 17:00,0.192
10/5/16 17:06,0.2
10/5/16 17:12,0.207
10/5/16 17:18,0.214
10/5/16 17:24,0.221
10/5/16 17:30,0.226
10/5/16 17:36,0.227
10/5/16 17:42,0.232
10/5/16 17:48,0.241
10/5/16 17:54,0.249
10/5/16 18:00,0.259
10/5/16 18:06,0.265
10/5/16 18:12,0.266
10/5/16 18:18,0.266
10/5/16 18:24,0.273
10/5/16 18:30,0.283
10/5/16 18:36,0.288
10/5/16 18:42,0.293
10/5/16 18:48,0.302
10/5/16 18:54,0.309
10/5/16 19:00,0.314
10/5/16 19:06,0.322
10/5/16 19:12,0.323
10/5/16 19:18,0.334
10/5/16 19:24,0.342
10/5/16 19:30,0.347
10/5/16 19:36,0.354
10/5/16 19:42,0.358
10/5/16 19:48,0.362
10/5/16 19:54,0.366
10/5/16 20:00,0.371
10/5/16 20:06,0.375
10/5/16 20:12,0.382
10/5/16 20:18,0.391
10/5/16 20:24,0.389
10/5/16 20:30,0.391
10/5/16 20:36,0.399
10/5/16 20:42,0.403
10/5/16 20:48,0.402
10/5/16 20:54,0.402
10/5/16 21:00,0.402
10/5/16 21:06,0.41
10/5/16 21:12,0.396
10/5/16 21:18,0.385
10/5/16 21:24,0.395
10/5/16 21:30,0.395
10/5/16 21:36,0.389
10/5/16 21:42,0.379
10/5/16 21:48,0.379
10/5/16 21:54,0.374
10/5/16 22:00,0.371
10/5/16 22:06,0.373
10/5/16 22:12,0.37
10/5/16 22:18,0.368
10/5/16 22:24,0.367
10/5/16 22:30,0.361
10/5/16 22:36,0.36
10/5/16 22:42,0.354
10/5/16 22:48,0.354
