Time,Difference
10/4/16 6:00,0.222
10/4/16 6:06,0.194
10/4/16 6:12,0.247
10/4/16 6:18,0.221
10/4/16 6:24,0.201
10/4/16 6:30,0.223
10/4/16 6:36,0.213
10/4/16 6:42,0.21
10/4/16 6:48,0.246
10/4/16 6:54,0.222
10/4/16 7:00,0.229
10/4/16 7:06,0.212
10/4/16 7:12,0.166
10/4/16 7:18,0.16
10/4/16 7:24,0.179
10/4/16 7:30,0.175
10/4/16 7:36,0.195
10/4/16 7:42,0.192
10/4/16 7:48,0.206
10/4/16 7:54,0.209
10/4/16 8:00,0.185
10/4/16 8:06,0.199
10/4/16 8:12,0.188
10/4/16 8:18,0.193
10/4/16 8:24,0.184
10/4/16 8:30,0.16
10/4/16 8:36,0.165
10/4/16 8:42,0.193
10/4/16 8:48,0.17
10/4/16 8:54,0.222
10/4/16 9:00,0.231
10/4/16 9:06,0.185
10/4/16 9:12,0.213
10/4/16 9:18,0.192
10/4/16 9:24,0.187
10/4/16 9:30,0.201
10/4/16 9:36,0.193
10/4/16 9:42,0.183
10/4/16 9:48,0.176
10/4/16 9:54,0.168
10/4/16 10:00,0.148
10/4/16 10:06,0.149
10/4/16 10:12,0.154
10/4/16 10:18,0.132
10/4/16 10:24,0.138
10/4/16 10:30,0.126
10/4/16 10:36,0.13
10/4/16 10:42,0.138
10/4/16 10:48,0.154
10/4/16 10:54,0.17
10/4/16 11:00,0.137
10/4/16 11:06,0.14
10/4/16 11:12,0.129
10/4/16 11:18,0.096
10/4/16 11:24,0.156
10/4/16 11:30,0.164
10/4/16 11:36,0.207
10/4/16 11:42,0.209
10/4/16 11:48,0.194
10/4/16 11:54,0.197
10/4/16 12:00,0.137
10/4/16 12:06,0.121
10/4/16 12:12,0.139
10/4/16 12:18,0.126
10/4/16 12:24,0.162
10/4/16 12:30,0.139
10/4/16 12:36,0.141
10/4/16 12:42,0.143
10/4/16 12:48,0.11
10/4/16 12:54,0.082
10/4/16 13:00,0.076
10/4/16 13:06,0.097
10/4/16 13:12,0.117
10/4/16 13:18,0.119
10/4/16 13:24,0.141
10/4/16 13:30,0.147
10/4/16 13:36,0.153
10/4/16 13:42,0.14
10/4/16 13:48,0.171
10/4/16 13:54,0.167
10/4/16 14:00,0.174
10/4/16 14:06,0.164
10/4/16 14:12,0.155
10/4/16 14:18,0.141
10/4/16 14:24,0.118
10/4/16 14:30,0.137
10/4/16 14:36,0.097
10/4/16 14:42,0.129
10/4/16 14:48,0.095
10/4/16 14:54,0.07
10/4/16 15:00,0.086
10/4/16 15:06,0.089
10/4/16 15:12,0.099
10/4/16 15:18,0.146
10/4/16 15:24,0.161
10/4/16 15:30,0.154
10/4/16 15:36,0.177
10/4/16 15:42,0.142
10/4/16 15:48,0.17
10/4/16 15:54,0.132
10/4/16 16:00,0.167
10/4/16 16:06,0.136
10/4/16 16:12,0.135
10/4/16 16:18,0.111
10/4/16 16:24,0.133
10/4/16 16:30,0.145
10/4/16 16:36,0.183
10/4/16 16:42,0.192
10/4/16 16:48,0.216
10/4/16 16:54,0.201
10/4/16 17:00,0.17
10/4/16 17:06,0.185
10/4/16 17:12,0.14
10/4/16 17:18,0.193
10/4/16 17:24,0.197
10/4/16 17:30,0.181
10/4/16 17:36,0.168
10/4/16 17:42,0.163
10/4/16 17:48,0.126
10/4/16 17:54,0.13
10/4/16 18:00,0.135
10/4/16 18:06,0.182
10/4/16 18:12,0.184
10/4/16 18:18,0.204
10/4/16 18:24,0.188
10/4/16 18:30,0.2
10/4/16 18:36,0.163
10/4/16 18:42,0.169
10/4/16 18:48,0.169
10/4/16 18:54,0.166
10/4/16 19:00,0.181
10/4/16 19:06,0.175
10/4/16 19:12,0.153
10/4/16 19:18,0.185
10/4/16 19:24,0.15
10/4/16 19:30,0.187
10/4/16 19:36,0.181
10/4/16 19:42,0.189
10/4/16 19:48,0.209
10/4/16 19:54,0.198
10/4/16 20:00,0.185
10/4/16 20:06,0.21
10/4/16 20:12,0.196
10/4/16 20:18,0.217
10/4/16 20:24,0.204
10/4/16 20:30,0.191
10/4/16 20:36,0.175
10/4/16 20:42,0.212
10/4/16 20:48,0.183
10/4/16 20:54,0.252
10/4/16 21:00,0.222
10/4/16 21:06,0.234
10/4/16 21:12,0.223
10/4/16 21:18,0.202
10/4/16 21:24,0.204
10/4/16 21:30,0.236
10/4/16 21:36,0.277
10/4/16 21:42,0.297
10/4/16 21:48,0.279
10/4/16 21:54,0.262
10/4/16 22:00,0.21
10/4/16 22:06,0.195
10/4/16 22:12,0.196
10/4/16 22:18,0.25
10/4/16 22:24,0.271
10/4/16 22:30,0.296
10/4/16 22:36,0.256
10/4/16 22:42,0.241
10/4/16 22:48,0.203
10/4/16 22:54,0.191
10/4/16 23:00,0.193
10/4/16 23:06,0.226
10/4/16 23:12,0.224
10/4/16 23:18,0.2
10/4/16 23:24,0.163
10/4/16 23:30,0.118
10/4/16 23:36,0.09
10/4/16 23:42,0.106
10/4/16 23:48,0.12
10/4/16 23:54,0.166
10/5/16 0:00,0.191
10/5/16 0:06,0.205
10/5/16 0:12,0.182
10/5/16 0:18,0.176
10/5/16 0:24,0.197
10/5/16 0:30,0.202
10/5/16 0:36,0.232
10/5/16 0:42,0.255
10/5/16 0:48,0.269
10/5/16 0:54,0.269
10/5/16 1:00,0.239
10/5/16 1:06,0.24
10/5/16 1:12,0.224
10/5/16 1:18,0.2
10/5/16 1:24,0.224
10/5/16 1:30,0.189
10/5/16 1:36,0.183
10/5/16 1:42,0.201
10/5/16 1:48,0.176
10/5/16 1:54,0.204
10/5/16 2:00,0.201
10/5/16 2:06,0.185
10/5/16 2:12,0.205
10/5/16 2:18,0.183
10/5/16 2:24,0.155
10/5/16 2:30,0.173
10/5/16 2:36,0.16
10/5/16 2:42,0.166
10/5/16 2:48,0.163
10/5/16 2:54,0.158
10/5/16 3:00,0.177
10/5/16 3:06,0.141
10/5/16 3:12,0.174
10/5/16 3:18,0.186
10/5/16 3:24,0.179
10/5/16 3:30,0.189
10/5/16 3:36,0.197
10/5/16 3:42,0.157
10/5/16 3:48,0.169
10/5/16 3:54,0.15
10/5/16 4:00,0.161
10/5/16 4:06,0.179
10/5/16 4:12,0.199
10/5/16 4:18,0.209
10/5/16 4:24,0.217
10/5/16 4:30,0.206
10/5/16 4:36,0.196
10/5/16 4:42,0.176
10/5/16 4:48,0.198
10/5/16 4:54,0.21
10/5/16 5:00,0.22
10/5/16 5:06,0.278
10/5/16 5:12,0.255
10/5/16 5:18,0.249
10/5/16 5:24,0.249
10/5/16 5:30,0.226
10/5/16 5:36,0.209
10/5/16 5:42,0.222
10/5/16 5:48,0.21
10/5/16 5:54,0.232
10/5/16 6:00,0.237
10/5/16 6:06,0.221
10/5/16 6:12,0.239
10/5/16 6:18,0.203
10/5/16 6:24,0.2
10/5/16 6:30,0.189
10/5/16 6:36,0.166
10/5/16 6:42,0.2
10/5/16 6:48,0.192
10/5/16 6:54,0.194
10/5/16 7:00,0.187
10/5/16 7:06,0.176
10/5/16 7:12,0.18
10/5/16 7:18,0.186
10/5/16 7:24,0.206
10/5/16 7:30,0.235
10/5/16 7:36,0.202
10/5/16 7:42,0.262
10/5/16 7:48,0.241
10/5/16 7:54,0.225
10/5/16 8:00,0.241
10/5/16 8:06,0.27
10/5/16 8:12,0.275
10/5/16 8:18,0.299
10/5/16 8:24,0.27
10/5/16 8:30,0.253
10/5/16 8:36,0.233
10/5/16 8:42,0.226
10/5/16 8:48,0.233
10/5/16 8:54,0.267
10/5/16 9:00,0.285
10/5/16 9:06,0.306
10/5/16 9:12,0.302
10/5/16 9:18,0.289
10/5/16 9:24,0.25
10/5/16 9:30,0.234
10/5/16 9:36,0.238
10/5/16 9:42,0.249
10/5/16 9:48,0.282
10/5/16 9:54,0.302
10/5/16 10:00,0.309
10/5/16 10:06,0.292
10/5/16 10:12,0.253
10/5/16 10:18,0.235
10/5/16 10:24,0.203
10/5/16 10:30,0.21
10/5/16 10:36,0.221
10/5/16 10:42,0.222
10/5/16 10:48,0.251
10/5/16 10:54,0.227
10/5/16 11:00,0.216
10/5/16 11:06,0.221
10/5/16 11:12,0.199
10/5/16 11:18,0.226
10/5/16 11:24,0.245
10/5/16 11:30,0.243
10/5/16 11:36,0.269
10/5/16 11:42,0.22
10/5/16 11:48,0.201
10/5/16 11:54,0.178
10/5/16 12:00,0.174
10/5/16 12:06,0.197
10/5/16 12:12,0.218
10/5/16 12:18,0.248
10/5/16 12:24,0.245
10/5/16 12:30,0.232
10/5/16 12:36,0.203
10/5/16 12:42,0.199
10/5/16 12:48,0.211
10/5/16 12:54,0.229
10/5/16 13:00,0.247
10/5/16 13:06,0.232
10/5/16 13:12,0.222
10/5/16 13:18,0.176
10/5/16 13:24,0.19
10/5/16 13:30,0.185
10/5/16 13:36,0.233
10/5/16 13:42,0.257
10/5/16 13:48,0.245
10/5/16 13:54,0.238
10/5/16 14:00,0.215
10/5/16 14:06,0.175
10/5/16 14:12,0.203
10/5/16 14:18,0.226
10/5/16 14:24,0.25
10/5/16 14:30,0.275
10/5/16 14:36,0.223
10/5/16 14:42,0.231
10/5/16 14:48,0.168
10/5/16 14:54,0.187
10/5/16 15:00,0.22
10/5/16 15:06,0.217
10/5/16 15:12,0.257
10/5/16 15:18,0.23
10/5/16 15:24,0.207
10/5/16 15:30,0.212
10/5/16 15:36,0.113
10/5/16 15:42,0.243
10/5/16 15:48,0.17
10/5/16 15:54,0.206
10/5/16 16:00,0.249
10/5/16 16:06,0.217
10/5/16 16:12,0.233
10/5/16 16:18,0.249
10/5/16 16:24,0.204
10/5/16 16:30,0.254
10/5/16 16:36,0.232
10/5/16 16:42,0.208
10/5/16 16:48,0.237
10/5/16 16:54,0.225
10/5/16 17:00,0.249
10/5/16 17:06,0.251
10/5/16 17:12,0.274
10/5/16 17:18,0.274
10/5/16 17:24,0.305
10/5/16 17:30,0.287
10/5/16 17:36,0.269
10/5/16 17:42,0.263
10/5/16 17:48,0.228
10/5/16 17:54,0.24
10/5/16 18:00,0.223
10/5/16 18:06,0.22
10/5/16 18:12,0.235
10/5/16 18:18,0.239
10/5/16 18:24,0.237
10/5/16 18:30,0.259
10/5/16 18:36,0.237
10/5/16 18:42,0.225
10/5/16 18:48,0.229
10/5/16 18:54,0.232
10/5/16 19:00,0.234
10/5/16 19:06,0.25
10/5/16 19:12,0.27
10/5/16 19:18,0.276
10/5/16 19:24,0.283
10/5/16 19:30,0.315
10/5/16 19:36,0.283
10/5/16 19:42,0.272
10/5/16 19:48,0.263
10/5/16 19:54,0.224
10/5/16 20:00,0.234
10/5/16 20:06,0.237
10/5/16 20:12,0.247
10/5/16 20:18,0.289
10/5/16 20:24,0.289
10/5/16 20:30,0.305
10/5/16 20:36,0.298
10/5/16 20:42,0.282
10/5/16 20:48,0.329
10/5/16 20:54,0.322
10/5/16 21:00,0.36
10/5/16 21:06,0.375
10/5/16 21:12,0.34
10/5/16 21:18,0.325
10/5/16 21:24,0.298
10/5/16 21:30,0.268
10/5/16 21:36,0.297
10/5/16 21:42,0.315
10/5/16 21:48,0.307
10/5/16 21:54,0.322
10/5/16 22:00,0.293
10/5/16 22:06,0.268
10/5/16 22:12,0.283
10/5/16 22:18,0.275
10/5/16 22:24,0.297
10/5/16 22:30,0.336
10/5/16 22:36,0.329
10/5/16 22:42,0.324
10/5/16 22:48,0.324
10/5/16 22:54,0.296
10/5/16 23:00,0.296
10/5/16 23:06,0.31
10/5/16 23:12,0.29
10/5/16 23:18,0.296
10/5/16 23:24,0.281
10/5/16 23:30,0.263
10/5/16 23:36,0.274
10/5/16 23:42,0.256
10/5/16 23:48,0.281
10/5/16 23:54,0.302
10/6/16 0:00,0.306
10/6/16 0:06,0.314
10/6/16 0:12,0.317
10/6/16 0:18,0.321
10/6/16 0:24,0.316
10/6/16 0:30,0.329
10/6/16 0:36,0.335
10/6/16 0:42,0.317
10/6/16 0:48,0.295
10/6/16 0:54,0.306
10/6/16 1:00,0.299
10/6/16 1:06,0.295
10/6/16 1:12,0.32
10/6/16 1:18,0.304
10/6/16 1:24,0.314
10/6/16 1:30,0.271
10/6/16 1:36,0.26
10/6/16 1:42,0.268
10/6/16 1:48,0.214
10/6/16 1:54,0.239
10/6/16 2:00,0.249
10/6/16 2:06,0.239
10/6/16 2:12,0.265
10/6/16 2:18,0.282
10/6/16 2:24,0.28
10/6/16 2:30,0.316
10/6/16 2:36,0.306
10/6/16 2:42,0.326
10/6/16 2:48,0.346
10/6/16 2:54,0.335
10/6/16 3:00,0.333
10/6/16 3:06,0.313
10/6/16 3:12,0.293
10/6/16 3:18,0.285
10/6/16 3:24,0.277
10/6/16 3:30,0.275
10/6/16 3:36,0.288
10/6/16 3:42,0.304
10/6/16 3:48,0.326
