Time,Difference
10/4/16 6:00,0.254
10/4/16 6:06,0.257
10/4/16 6:12,0.258
10/4/16 6:18,0.261
10/4/16 6:24,0.263
10/4/16 6:30,0.268
10/4/16 6:36,0.279
10/4/16 6:42,0.285
10/4/16 6:48,0.287
10/4/16 6:54,0.29
10/4/16 7:00,0.293
10/4/16 7:06,0.297
10/4/16 7:12,0.296
10/4/16 7:18,0.296
10/4/16 7:24,0.299
10/4/16 7:30,0.299
10/4/16 7:36,0.3
10/4/16 7:42,0.302
10/4/16 7:48,0.303
10/4/16 7:54,0.304
10/4/16 8:00,0.309
10/4/16 8:06,0.31
10/4/16 8:12,0.313
10/4/16 8:18,0.314
10/4/16 8:24,0.315
10/4/16 8:30,0.318
10/4/16 8:36,0.323
10/4/16 8:42,0.327
10/4/16 8:48,0.334
10/4/16 8:54,0.343
10/4/16 9:00,0.352
10/4/16 9:06,0.356
10/4/16 9:12,0.359
10/4/16 9:18,0.365
10/4/16 9:24,0.367
10/4/16 9:30,0.368
10/4/16 9:36,0.373
10/4/16 9:42,0.376
10/4/16 9:48,0.377
10/4/16 9:54,0.376
10/4/16 10:00,0.368
10/4/16 10:06,0.36
10/4/16 10:12,0.35
10/4/16 10:18,0.346
10/4/16 10:24,0.337
10/4/16 10:30,0.332
10/4/16 10:36,0.325
10/4/16 10:42,0.317
10/4/16 10:48,0.305
10/4/16 10:54,0.292
10/4/16 11:00,0.283
10/4/16 11:06,0.272
10/4/16 11:12,0.267
10/4/16 11:18,0.264
10/4/16 11:24,0.255
10/4/16 11:30,0.253
10/4/16 11:36,0.251
10/4/16 11:42,0.251
10/4/16 11:48,0.248
10/4/16 11:54,0.244
10/4/16 12:00,0.238
10/4/16 12:06,0.232
10/4/16 12:12,0.228
10/4/16 12:18,0.222
10/4/16 12:24,0.221
10/4/16 12:30,0.219
10/4/16 12:36,0.214
10/4/16 12:42,0.212
10/4/16 12:48,0.207
10/4/16 12:54,0.202
10/4/16 13:00,0.197
10/4/16 13:06,0.197
10/4/16 13:12,0.193
10/4/16 13:18,0.188
10/4/16 13:24,0.183
10/4/16 13:30,0.177
10/4/16 13:36,0.172
10/4/16 13:42,0.172
10/4/16 13:48,0.169
10/4/16 13:54,0.164
10/4/16 14:00,0.163
10/4/16 14:06,0.158
10/4/16 14:12,0.153
10/4/16 14:18,0.146
10/4/16 14:24,0.141
10/4/16 14:30,0.141
10/4/16 14:36,0.14
10/4/16 14:42,0.144
10/4/16 14:48,0.142
10/4/16 14:54,0.141
10/4/16 15:00,0.14
10/4/16 15:06,0.143
10/4/16 15:12,0.148
10/4/16 15:18,0.155
10/4/16 15:24,0.159
10/4/16 15:30,0.162
10/4/16 15:36,0.166
10/4/16 15:42,0.169
10/4/16 15:48,0.173
10/4/16 15:54,0.179
10/4/16 16:00,0.188
10/4/16 16:06,0.193
10/4/16 16:12,0.198
10/4/16 16:18,0.207
10/4/16 16:24,0.216
10/4/16 16:30,0.222
10/4/16 16:36,0.224
10/4/16 16:42,0.23
10/4/16 16:48,0.235
10/4/16 16:54,0.241
10/4/16 17:00,0.248
10/4/16 17:06,0.256
10/4/16 17:12,0.265
10/4/16 17:18,0.274
10/4/16 17:24,0.284
10/4/16 17:30,0.292
10/4/16 17:36,0.299
10/4/16 17:42,0.305
10/4/16 17:48,0.312
10/4/16 17:54,0.321
10/4/16 18:00,0.333
10/4/16 18:06,0.346
10/4/16 18:12,0.361
10/4/16 18:18,0.381
10/4/16 18:24,0.4
10/4/16 18:30,0.411
10/4/16 18:36,0.426
10/4/16 18:42,0.43
10/4/16 18:48,0.434
10/4/16 18:54,0.441
10/4/16 19:00,0.451
10/4/16 19:06,0.458
10/4/16 19:12,0.466
10/4/16 19:18,0.47
10/4/16 19:24,0.476
10/4/16 19:30,0.482
10/4/16 19:36,0.492
10/4/16 19:42,0.497
10/4/16 19:48,0.501
10/4/16 19:54,0.502
10/4/16 20:00,0.506
10/4/16 20:06,0.515
10/4/16 20:12,0.524
10/4/16 20:18,0.528
10/4/16 20:24,0.527
10/4/16 20:30,0.532
10/4/16 20:36,0.528
10/4/16 20:42,0.522
10/4/16 20:48,0.522
10/4/16 20:54,0.528
10/4/16 21:00,0.532
10/4/16 21:06,0.536
10/4/16 21:12,0.533
10/4/16 21:18,0.532
10/4/16 21:24,0.532
10/4/16 21:30,0.525
10/4/16 21:36,0.521
10/4/16 21:42,0.516
10/4/16 21:48,0.514
10/4/16 21:54,0.514
10/4/16 22:00,0.501
10/4/16 22:06,0.492
10/4/16 22:12,0.488
10/4/16 22:18,0.479
10/4/16 22:24,0.477
10/4/16 22:30,0.464
10/4/16 22:36,0.455
10/4/16 22:42,0.442
10/4/16 22:48,0.438
10/4/16 22:54,0.433
10/4/16 23:00,0.43
10/4/16 23:06,0.428
10/4/16 23:12,0.426
10/4/16 23:18,0.419
10/4/16 23:24,0.41
10/4/16 23:30,0.403
10/4/16 23:36,0.405
10/4/16 23:42,0.4
10/4/16 23:48,0.405
10/4/16 23:54,0.406
10/5/16 0:00,0.403
10/5/16 0:06,0.406
10/5/16 0:12,0.411
10/5/16 0:18,0.416
10/5/16 0:24,0.43
10/5/16 0:30,0.434
10/5/16 0:36,0.437
10/5/16 0:42,0.437
10/5/16 0:48,0.432
10/5/16 0:54,0.422
10/5/16 1:00,0.423
10/5/16 1:06,0.417
10/5/16 1:12,0.407
10/5/16 1:18,0.402
10/5/16 1:24,0.401
10/5/16 1:30,0.405
10/5/16 1:36,0.402
10/5/16 1:42,0.396
10/5/16 1:48,0.385
10/5/16 1:54,0.378
10/5/16 2:00,0.37
10/5/16 2:06,0.374
10/5/16 2:12,0.37
10/5/16 2:18,0.361
10/5/16 2:24,0.356
10/5/16 2:30,0.349
10/5/16 2:36,0.347
10/5/16 2:42,0.335
10/5/16 2:48,0.338
10/5/16 2:54,0.343
10/5/16 3:00,0.347
10/5/16 3:06,0.344
10/5/16 3:12,0.335
10/5/16 3:18,0.333
10/5/16 3:24,0.335
10/5/16 3:30,0.331
10/5/16 3:36,0.337
10/5/16 3:42,0.345
10/5/16 3:48,0.344
10/5/16 3:54,0.355
10/5/16 4:00,0.363
10/5/16 4:06,0.37
10/5/16 4:12,0.376
10/5/16 4:18,0.378
10/5/16 4:24,0.386
10/5/16 4:30,0.388
10/5/16 4:36,0.405
10/5/16 4:42,0.398
10/5/16 4:48,0.406
10/5/16 4:54,0.41
10/5/16 5:00,0.419
10/5/16 5:06,0.43
10/5/16 5:12,0.437
10/5/16 5:18,0.446
10/5/16 5:24,0.452
10/5/16 5:30,0.461
10/5/16 5:36,0.47
10/5/16 5:42,0.48
10/5/16 5:48,0.489
10/5/16 5:54,0.502
10/5/16 6:00,0.513
10/5/16 6:06,0.528
10/5/16 6:12,0.545
10/5/16 6:18,0.561
10/5/16 6:24,0.576
10/5/16 6:30,0.586
10/5/16 6:36,0.597
10/5/16 6:42,0.608
10/5/16 6:48,0.62
10/5/16 6:54,0.641
10/5/16 7:00,0.65
10/5/16 7:06,0.659
10/5/16 7:12,0.67
10/5/16 7:18,0.683
10/5/16 7:24,0.69
10/5/16 7:30,0.703
10/5/16 7:36,0.716
10/5/16 7:42,0.721
10/5/16 7:48,0.725
10/5/16 7:54,0.731
10/5/16 8:00,0.738
10/5/16 8:06,0.743
10/5/16 8:12,0.741
10/5/16 8:18,0.744
10/5/16 8:24,0.741
10/5/16 8:30,0.735
10/5/16 8:36,0.733
10/5/16 8:42,0.729
10/5/16 8:48,0.726
10/5/16 8:54,0.723
10/5/16 9:00,0.716
10/5/16 9:06,0.713
10/5/16 9:12,0.706
10/5/16 9:18,0.699
10/5/16 9:24,0.699
10/5/16 9:30,0.69
10/5/16 9:36,0.679
10/5/16 9:42,0.664
10/5/16 9:48,0.65
10/5/16 9:54,0.635
10/5/16 10:00,0.623
10/5/16 10:06,0.607
10/5/16 10:12,0.599
10/5/16 10:18,0.583
10/5/16 10:24,0.567
10/5/16 10:30,0.556
10/5/16 10:36,0.541
10/5/16 10:42,0.529
10/5/16 10:48,0.509
10/5/16 10:54,0.496
10/5/16 11:00,0.481
10/5/16 11:06,0.472
10/5/16 11:12,0.456
10/5/16 11:18,0.449
10/5/16 11:24,0.434
10/5/16 11:30,0.423
10/5/16 11:36,0.408
10/5/16 11:42,0.398
10/5/16 11:48,0.393
10/5/16 11:54,0.381
10/5/16 12:00,0.375
10/5/16 12:06,0.374
10/5/16 12:12,0.363
10/5/16 12:18,0.364
10/5/16 12:24,0.358
10/5/16 12:30,0.354
10/5/16 12:36,0.351
10/5/16 12:42,0.35
10/5/16 12:48,0.349
10/5/16 12:54,0.347
10/5/16 13:00,0.344
10/5/16 13:06,0.335
10/5/16 13:12,0.328
10/5/16 13:18,0.323
10/5/16 13:24,0.321
10/5/16 13:30,0.31
10/5/16 13:36,0.308
10/5/16 13:42,0.3
10/5/16 13:48,0.294
10/5/16 13:54,0.288
10/5/16 14:00,0.286
10/5/16 14:06,0.284
10/5/16 14:12,0.278
10/5/16 14:18,0.277
10/5/16 14:24,0.266
10/5/16 14:30,0.259
10/5/16 14:36,0.257
10/5/16 14:42,0.248
10/5/16 14:48,0.244
10/5/16 14:54,0.244
10/5/16 15:00,0.245
10/5/16 15:06,0.255
10/5/16 15:12,0.26
10/5/16 15:18,0.265
10/5/16 15:24,0.269
10/5/16 15:30,0.274
10/5/16 15:36,0.275
10/5/16 15:42,0.283
10/5/16 15:48,0.297
10/5/16 15:54,0.308
10/5/16 16:00,0.317
10/5/16 16:06,0.32
10/5/16 16:12,0.329
10/5/16 16:18,0.336
10/5/16 16:24,0.346
10/5/16 16:30,0.358
10/5/16 16:36,0.367
10/5/16 16:42,0.379
10/5/16 16:48,0.383
10/5/16 16:54,0.393
10/5/16 17:00,0.407
10/5/16 17:06,0.419
10/5/16 17:12,0.434
10/5/16 17:18,0.44
10/5/16 17:24,0.45
10/5/16 17:30,0.459
10/5/16 17:36,0.464
10/5/16 17:42,0.474
10/5/16 17:48,0.48
10/5/16 17:54,0.493
10/5/16 18:00,0.505
10/5/16 18:06,0.517
10/5/16 18:12,0.526
10/5/16 18:18,0.536
10/5/16 18:24,0.544
10/5/16 18:30,0.554
10/5/16 18:36,0.564
10/5/16 18:42,0.577
10/5/16 18:48,0.587
10/5/16 18:54,0.597
10/5/16 19:00,0.606
10/5/16 19:06,0.617
10/5/16 19:12,0.629
10/5/16 19:18,0.641
10/5/16 19:24,0.649
10/5/16 19:30,0.661
10/5/16 19:36,0.671
10/5/16 19:42,0.683
10/5/16 19:48,0.689
10/5/16 19:54,0.698
10/5/16 20:00,0.699
10/5/16 20:06,0.701
10/5/16 20:12,0.706
10/5/16 20:18,0.707
10/5/16 20:24,0.708
10/5/16 20:30,0.71
10/5/16 20:36,0.704
10/5/16 20:42,0.699
10/5/16 20:48,0.696
10/5/16 20:54,0.693
10/5/16 21:00,0.684
10/5/16 21:06,0.677
10/5/16 21:12,0.673
10/5/16 21:18,0.668
10/5/16 21:24,0.659
10/5/16 21:30,0.658
10/5/16 21:36,0.651
10/5/16 21:42,0.643
10/5/16 21:48,0.634
10/5/16 21:54,0.626
10/5/16 22:00,0.616
10/5/16 22:06,0.603
10/5/16 22:12,0.597
10/5/16 22:18,0.594
10/5/16 22:24,0.585
10/5/16 22:30,0.573
10/5/16 22:36,0.561
10/5/16 22:42,0.547
10/5/16 22:48,0.538
10/5/16 22:54,0.529
10/5/16 23:00,0.518
10/5/16 23:06,0.513
10/5/16 23:12,0.499
10/5/16 23:18,0.494
10/5/16 23:24,0.483
10/5/16 23:30,0.483
10/5/16 23:36,0.474
10/5/16 23:42,0.473
10/5/16 23:48,0.467
10/5/16 23:54,0.47
10/6/16 0:00,0.464
10/6/16 0:06,0.46
10/6/16 0:12,0.463
10/6/16 0:18,0.465
10/6/16 0:24,0.462
10/6/16 0:30,0.462
10/6/16 0:36,0.463
10/6/16 0:42,0.466
10/6/16 0:48,0.461
10/6/16 0:54,0.462
10/6/16 1:00,0.458
10/6/16 1:06,0.46
10/6/16 1:12,0.459
10/6/16 1:18,0.457
10/6/16 1:24,0.458
10/6/16 1:30,0.458
10/6/16 1:36,0.452
10/6/16 1:42,0.45
10/6/16 1:48,0.446
10/6/16 1:54,0.437
10/6/16 2:00,0.432
10/6/16 2:06,0.427
10/6/16 2:12,0.422
10/6/16 2:18,0.418
10/6/16 2:24,0.407
10/6/16 2:30,0.4
10/6/16 2:36,0.398
10/6/16 2:42,0.392
10/6/16 2:48,0.379
10/6/16 2:54,0.379
10/6/16 3:00,0.378
10/6/16 3:06,0.376
10/6/16 3:12,0.371
10/6/16 3:18,0.375
